"admitido" "calificacion" "test psico" "Nivel centro" "sexo"
"1" "No admitido" 380 3.60999989509583 "Básico" "Mujer"
"2" "Si admitido" 660 3.67000007629395 "Básico" "Hombre"
"3" "Si admitido" 800 4 "Superior" "Hombre"
"4" "Si admitido" 640 3.19000005722046 "Escaso" "Hombre"
"5" "No admitido" 520 2.9300000667572 "Escaso" "Hombre"
"6" "Si admitido" 760 3 "Medio" "Mujer"
"7" "Si admitido" 560 2.98000001907349 "Superior" "Mujer"
"8" "No admitido" 400 3.07999992370605 "Medio" "Mujer"
"9" "Si admitido" 540 3.39000010490417 "Básico" "Mujer"
"10" "No admitido" 700 3.92000007629395 "Medio" "Mujer"
"11" "No admitido" 800 4 "Escaso" "Mujer"
"12" "No admitido" 440 3.22000002861023 "Superior" "Mujer"
"13" "Si admitido" 760 4 "Superior" "Mujer"
"14" "No admitido" 700 3.07999992370605 "Medio" "Mujer"
"15" "Si admitido" 700 4 "Superior" "Mujer"
"16" "No admitido" 480 3.44000005722046 "Básico" "Mujer"
"17" "No admitido" 780 3.86999988555908 "Escaso" "Mujer"
"18" "No admitido" 360 2.55999994277954 "Básico" "Mujer"
"19" "No admitido" 800 3.75 "Medio" "Mujer"
"20" "Si admitido" 540 3.80999994277954 "Superior" "Hombre"
"21" "No admitido" 500 3.17000007629395 "Básico" "Hombre"
"22" "Si admitido" 660 3.63000011444092 "Medio" "Hombre"
"23" "No admitido" 600 2.8199999332428 "Escaso" "Hombre"
"24" "No admitido" 680 3.19000005722046 "Escaso" "Hombre"
"25" "Si admitido" 760 3.34999990463257 "Medio" "Mujer"
"26" "Si admitido" 800 3.66000008583069 "Superior" "Mujer"
"27" "Si admitido" 620 3.60999989509583 "Superior" "Mujer"
"28" "Si admitido" 520 3.74000000953674 "Escaso" "Mujer"
"29" "Si admitido" 780 3.22000002861023 "Medio" "Mujer"
"30" "No admitido" 520 3.28999996185303 "Superior" "Mujer"
"31" "No admitido" 540 3.77999997138977 "Escaso" "Hombre"
"32" "No admitido" 760 3.34999990463257 "Básico" "Hombre"
"33" "No admitido" 600 3.40000009536743 "Básico" "Hombre"
"34" "Si admitido" 800 4 "Básico" "Hombre"
"35" "No admitido" 360 3.14000010490417 "Superior" "Hombre"
"36" "No admitido" 400 3.04999995231628 "Medio" "Hombre"
"37" "No admitido" 580 3.25 "Superior" "Hombre"
"38" "No admitido" 520 2.90000009536743 "Básico" "Mujer"
"39" "Si admitido" 500 3.13000011444092 "Medio" "Mujer"
"40" "Si admitido" 520 2.6800000667572 "Básico" "Hombre"
"41" "No admitido" 560 2.42000007629395 "Medio" "Mujer"
"42" "Si admitido" 580 3.3199999332428 "Medio" "Hombre"
"43" "Si admitido" 600 3.15000009536743 "Medio" "Mujer"
"44" "No admitido" 500 3.30999994277954 "Básico" "Mujer"
"45" "No admitido" 700 2.94000005722046 "Medio" "Mujer"
"46" "Si admitido" 460 3.45000004768372 "Básico" "Hombre"
"47" "Si admitido" 580 3.46000003814697 "Medio" "Hombre"
"48" "No admitido" 500 2.97000002861023 "Escaso" "Hombre"
"49" "No admitido" 440 2.48000001907349 "Escaso" "Hombre"
"50" "No admitido" 400 3.34999990463257 "Básico" "Hombre"
"51" "No admitido" 640 3.85999989509583 "Básico" "Mujer"
"52" "No admitido" 440 3.13000011444092 "Escaso" "Mujer"
"53" "No admitido" 740 3.36999988555908 "Escaso" "Mujer"
"54" "Si admitido" 680 3.26999998092651 "Medio" "Hombre"
"55" "No admitido" 660 3.33999991416931 "Básico" "Hombre"
"56" "Si admitido" 740 4 "Básico" "Hombre"
"57" "No admitido" 560 3.19000005722046 "Básico" "Hombre"
"58" "No admitido" 380 2.94000005722046 "Básico" "Hombre"
"59" "No admitido" 400 3.65000009536743 "Medio" "Mujer"
"60" "No admitido" 600 2.8199999332428 "Escaso" "Mujer"
"61" "Si admitido" 620 3.1800000667572 "Medio" "Mujer"
"62" "No admitido" 560 3.3199999332428 "Escaso" "Mujer"
"63" "No admitido" 640 3.67000007629395 "Básico" "Hombre"
"64" "Si admitido" 680 3.84999990463257 "Básico" "Hombre"
"65" "No admitido" 580 4 "Básico" "Hombre"
"66" "No admitido" 600 3.58999991416931 "Medio" "Hombre"
"67" "No admitido" 740 3.61999988555908 "Escaso" "Hombre"
"68" "No admitido" 620 3.29999995231628 "Superior" "Mujer"
"69" "No admitido" 580 3.69000005722046 "Superior" "Mujer"
"70" "No admitido" 800 3.73000001907349 "Superior" "Mujer"
"71" "No admitido" 640 4 "Básico" "Mujer"
"72" "No admitido" 300 2.92000007629395 "Escaso" "Mujer"
"73" "No admitido" 480 3.39000010490417 "Escaso" "Hombre"
"74" "No admitido" 580 4 "Medio" "Hombre"
"75" "No admitido" 720 3.45000004768372 "Escaso" "Hombre"
"76" "No admitido" 720 4 "Básico" "Hombre"
"77" "No admitido" 560 3.35999989509583 "Básico" "Hombre"
"78" "Si admitido" 800 4 "Básico" "Hombre"
"79" "No admitido" 540 3.11999988555908 "Superior" "Mujer"
"80" "Si admitido" 620 4 "Superior" "Hombre"
"81" "No admitido" 700 2.90000009536743 "Escaso" "Mujer"
"82" "No admitido" 620 3.0699999332428 "Medio" "Mujer"
"83" "No admitido" 500 2.71000003814697 "Medio" "Mujer"
"84" "No admitido" 380 2.91000008583069 "Escaso" "Mujer"
"85" "Si admitido" 500 3.59999990463257 "Básico" "Hombre"
"86" "No admitido" 520 2.98000001907349 "Medio" "Mujer"
"87" "No admitido" 600 3.3199999332428 "Medio" "Mujer"
"88" "No admitido" 600 3.48000001907349 "Medio" "Mujer"
"89" "No admitido" 700 3.27999997138977 "Superior" "Mujer"
"90" "Si admitido" 660 4 "Medio" "Hombre"
"91" "No admitido" 700 3.82999992370605 "Medio" "Hombre"
"92" "Si admitido" 720 3.64000010490417 "Superior" "Mujer"
"93" "No admitido" 800 3.90000009536743 "Medio" "Mujer"
"94" "No admitido" 580 2.9300000667572 "Medio" "Mujer"
"95" "Si admitido" 660 3.44000005722046 "Medio" "Hombre"
"96" "No admitido" 660 3.32999992370605 "Medio" "Hombre"
"97" "No admitido" 640 3.51999998092651 "Escaso" "Mujer"
"98" "No admitido" 480 3.5699999332428 "Medio" "Mujer"
"99" "No admitido" 700 2.88000011444092 "Medio" "Mujer"
"100" "No admitido" 400 3.30999994277954 "Básico" "Mujer"
"101" "No admitido" 340 3.15000009536743 "Básico" "Mujer"
"102" "No admitido" 580 3.5699999332428 "Básico" "Mujer"
"103" "No admitido" 380 3.32999992370605 "Escaso" "Mujer"
"104" "No admitido" 540 3.94000005722046 "Básico" "Mujer"
"105" "Si admitido" 660 3.95000004768372 "Medio" "Hombre"
"106" "Si admitido" 740 2.97000002861023 "Medio" "Hombre"
"107" "Si admitido" 700 3.55999994277954 "Superior" "Hombre"
"108" "No admitido" 480 3.13000011444092 "Medio" "Hombre"
"109" "No admitido" 400 2.9300000667572 "Básico" "Hombre"
"110" "No admitido" 480 3.45000004768372 "Medio" "Hombre"
"111" "No admitido" 680 3.07999992370605 "Escaso" "Hombre"
"112" "No admitido" 420 3.41000008583069 "Escaso" "Hombre"
"113" "No admitido" 360 3 "Básico" "Hombre"
"114" "No admitido" 600 3.22000002861023 "Superior" "Hombre"
"115" "No admitido" 720 3.83999991416931 "Básico" "Hombre"
"116" "No admitido" 620 3.99000000953674 "Básico" "Hombre"
"117" "Si admitido" 440 3.45000004768372 "Medio" "Hombre"
"118" "No admitido" 700 3.72000002861023 "Medio" "Hombre"
"119" "Si admitido" 800 3.70000004768372 "Superior" "Hombre"
"120" "No admitido" 340 2.92000007629395 "Básico" "Hombre"
"121" "Si admitido" 520 3.74000000953674 "Medio" "Hombre"
"122" "Si admitido" 480 2.67000007629395 "Medio" "Hombre"
"123" "No admitido" 520 2.84999990463257 "Básico" "Mujer"
"124" "No admitido" 500 2.98000001907349 "Básico" "Mujer"
"125" "No admitido" 720 3.88000011444092 "Básico" "Mujer"
"126" "No admitido" 540 3.38000011444092 "Escaso" "Mujer"
"127" "Si admitido" 600 3.53999996185303 "Superior" "Mujer"
"128" "No admitido" 740 3.74000000953674 "Escaso" "Mujer"
"129" "No admitido" 540 3.19000005722046 "Medio" "Mujer"
"130" "No admitido" 460 3.15000009536743 "Escaso" "Mujer"
"131" "Si admitido" 620 3.17000007629395 "Medio" "Mujer"
"132" "No admitido" 640 2.78999996185303 "Medio" "Mujer"
"133" "No admitido" 580 3.40000009536743 "Medio" "Mujer"
"134" "No admitido" 500 3.07999992370605 "Básico" "Mujer"
"135" "No admitido" 560 2.95000004768372 "Medio" "Mujer"
"136" "No admitido" 500 3.5699999332428 "Básico" "Mujer"
"137" "No admitido" 560 3.32999992370605 "Escaso" "Hombre"
"138" "No admitido" 700 4 "Básico" "Hombre"
"139" "No admitido" 620 3.40000009536743 "Medio" "Hombre"
"140" "Si admitido" 600 3.57999992370605 "Superior" "Hombre"
"141" "No admitido" 640 3.9300000667572 "Medio" "Hombre"
"142" "Si admitido" 700 3.51999998092651 "Escaso" "Hombre"
"143" "No admitido" 620 3.94000005722046 "Escaso" "Hombre"
"144" "No admitido" 580 3.40000009536743 "Básico" "Hombre"
"145" "No admitido" 580 3.40000009536743 "Escaso" "Hombre"
"146" "No admitido" 380 3.4300000667572 "Básico" "Mujer"
"147" "No admitido" 480 3.40000009536743 "Medio" "Mujer"
"148" "No admitido" 560 2.71000003814697 "Básico" "Mujer"
"149" "Si admitido" 480 2.91000008583069 "Superior" "Hombre"
"150" "No admitido" 740 3.30999994277954 "Superior" "Hombre"
"151" "Si admitido" 800 3.74000000953674 "Superior" "Hombre"
"152" "No admitido" 400 3.38000011444092 "Medio" "Hombre"
"153" "Si admitido" 640 3.94000005722046 "Medio" "Hombre"
"154" "No admitido" 580 3.46000003814697 "Básico" "Hombre"
"155" "No admitido" 620 3.69000005722046 "Básico" "Hombre"
"156" "Si admitido" 580 2.85999989509583 "Escaso" "Hombre"
"157" "No admitido" 560 2.51999998092651 "Medio" "Mujer"
"158" "Si admitido" 480 3.57999992370605 "Superior" "Mujer"
"159" "No admitido" 660 3.49000000953674 "Medio" "Mujer"
"160" "No admitido" 700 3.8199999332428 "Básico" "Hombre"
"161" "No admitido" 600 3.13000011444092 "Medio" "Hombre"
"162" "No admitido" 640 3.5 "Medio" "Hombre"
"163" "Si admitido" 700 3.55999994277954 "Medio" "Hombre"
"164" "No admitido" 520 2.73000001907349 "Medio" "Hombre"
"165" "No admitido" 580 3.29999995231628 "Medio" "Hombre"
"166" "No admitido" 700 4 "Superior" "Mujer"
"167" "No admitido" 440 3.24000000953674 "Escaso" "Mujer"
"168" "No admitido" 720 3.76999998092651 "Básico" "Mujer"
"169" "No admitido" 500 4 "Básico" "Mujer"
"170" "No admitido" 600 3.61999988555908 "Básico" "Mujer"
"171" "No admitido" 400 3.50999999046326 "Básico" "Mujer"
"172" "No admitido" 540 2.80999994277954 "Básico" "Mujer"
"173" "No admitido" 680 3.48000001907349 "Básico" "Mujer"
"174" "Si admitido" 800 3.4300000667572 "Medio" "Hombre"
"175" "No admitido" 500 3.52999997138977 "Escaso" "Mujer"
"176" "Si admitido" 620 3.36999988555908 "Medio" "Mujer"
"177" "No admitido" 520 2.61999988555908 "Medio" "Mujer"
"178" "Si admitido" 620 3.23000001907349 "Básico" "Hombre"
"179" "No admitido" 620 3.32999992370605 "Básico" "Hombre"
"180" "No admitido" 300 3.00999999046326 "Básico" "Hombre"
"181" "No admitido" 620 3.77999997138977 "Básico" "Hombre"
"182" "No admitido" 500 3.88000011444092 "Escaso" "Mujer"
"183" "No admitido" 700 4 "Medio" "Mujer"
"184" "Si admitido" 540 3.83999991416931 "Medio" "Mujer"
"185" "No admitido" 500 2.78999996185303 "Escaso" "Mujer"
